"uuid","index_key","reference_key","timestamp","update_by","table_name","log_id","change_log"
"92ACF047-CF52-46E2-8B9B-84D82925E532","28","LT-000000028","2025-06-17 15:11:00.206","Garrett Aposhian","order_detail","4277FA0F-2BBB-4DC1-BCD9-3F2E101C2091","{""index_key"":15,""insert_date"":""2025-06-17T15:11:00.203"",""update_date"":""2025-06-17T15:10:39"",""update_by"":""Garrett Aposhian"",""sales_order_key"":""SO-000202"",""vendor"":""ags"",""cabinet"":""Stuff"",""theme"":""other stuff"",""price"":20000,""quantity"":2}"
"B163CD09-4A6F-46BA-B4B5-A103DDC95741","32","LT-000000032","2025-06-17 15:17:57.243","Garrett Aposhian","order_detail","98C873EC-470F-46F0-989F-7CC423F41357","{""before_values"":""{\""index_key\"":17,\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}"",""after_values"":""{\""uuid\"":\""98C873EC-470F-46F0-989F-7CC423F41357\"",\""index_key\"":17,\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}""}"
"A50A4472-BE7E-4B4E-8A41-19985DCF7EF6","36","LT-000000036","2025-06-17 15:23:11.606","Paul Collins","order_detail","1BD1C329-5BEF-4612-8005-2EC42BCC1A7C","{""before_values"":""{\""uuid\"":\""1BD1C329-5BEF-4612-8005-2EC42BCC1A7C\"",\""index_key\"":13,\""reference_key\"":\""DT-0000013\"",\""insert_date\"":\""2025-06-16T16:02:10.837\"",\""update_date\"":\""2025-06-16T16:02:01\"",\""update_by\"":\""Haley Hoagland\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""2\"",\""cabinet\"":\""2\"",\""theme\"":\""2\"",\""price\"":2}"",""after_values"":""{\""uuid\"":\""1BD1C329-5BEF-4612-8005-2EC42BCC1A7C\"",\""index_key\"":13,\""reference_key\"":\""DT-0000013\"",\""insert_date\"":\""2025-06-16T16:02:10.837\"",\""update_date\"":\""2025-06-17T15:23:08\"",\""update_by\"":\""Paul Collins\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""2\"",\""cabinet\"":\""2\"",\""theme\"":\""2\"",\""price\"":2,\""quantity\"":5}""}"
"76660DD0-09AC-49AE-AF2F-E2285DC6EB92","6056","LT-000006056","2025-06-24 09:32:44.963","System","states","37BDABC6-741D-4A69-B718-2C077970B3D4","Created on 2025-06-24 09:32:44"
"3F25523B-028B-4554-A896-8E7521E5BB35","6441","LT-000006441","2025-06-27 14:42:58.530","Paul Collins","emplyee","69A16AE5-B191-4C4D-859E-96E54D7D4931","Initial Upload2025-06-27 14:42:58"
"A5329A76-2731-4FE3-8765-A52373F03F82","6442","LT-000006442","2025-06-27 14:42:58.530","Paul Collins","emplyee","030A4299-47BE-4BF4-B7A6-A6AC34BAC5B3","Initial Upload2025-06-27 14:42:58"
"DF40EA4D-72AC-4155-8B89-975AFBDF1EF1","30","LT-000000030","2025-06-17 15:11:30.540","Garrett Aposhian","order_detail","2B09BC17-4970-4D10-9CDC-9C6B614619E9","{""before_values"":""{\""uuid\"":\""2B09BC17-4970-4D10-9CDC-9C6B614619E9\"",\""index_key\"":16,\""insert_date\"":\""2025-06-17T15:11:30.540\"",\""update_date\"":\""2025-06-17T15:11:04\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Updated on 2025-06-17 15:11:30 Log key: (LT-000000029)\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Stuff 2\"",\""theme\"":\""Other Stuff 2\"",\""price\"":25995,\""quantity\"":2}"",""after_values"":""{\""uuid\"":\""2B09BC17-4970-4D10-9CDC-9C6B614619E9\"",\""index_key\"":16,\""reference_key\"":\""DT-0000016\"",\""insert_date\"":\""2025-06-17T15:11:30.540\"",\""update_date\"":\""2025-06-17T15:11:04\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Created on 2025-06-17 15:11:30\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Stuff 2\"",\""theme\"":\""Other Stuff 2\"",\""price\"":25995,\""quantity\"":2}""}"
"4500AFD3-127B-4840-BC39-D417BA734EC4","31","LT-000000031","2025-06-17 15:11:30.540","Garrett Aposhian","order_detail","95BE6D84-24B0-46BF-9FDB-38660D830A3F","{""index_key"":16,""insert_date"":""2025-06-17T15:11:30.540"",""update_date"":""2025-06-17T15:11:04"",""update_by"":""Garrett Aposhian"",""sales_order_key"":""SO-000202"",""vendor"":""Aruze"",""cabinet"":""Stuff 2"",""theme"":""Other Stuff 2"",""price"":25995,""quantity"":2}"
"5E75353A-3859-475C-8775-0919BC33EC32","35","LT-000000035","2025-06-17 15:23:02.680","Paul Collins","order_detail","56AA04A4-115C-4046-8EE2-DEC82FCAD748","{""before_values"":""{\""uuid\"":\""56AA04A4-115C-4046-8EE2-DEC82FCAD748\"",\""index_key\"":12,\""reference_key\"":\""DT-0000012\"",\""insert_date\"":\""2025-06-16T16:01:50.193\"",\""update_date\"":\""2025-06-16T16:01:00\"",\""update_by\"":\""Haley Hoagland\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""ags\"",\""cabinet\"":\""cabinet\"",\""theme\"":\""theme\"",\""price\"":4}"",""after_values"":""{\""uuid\"":\""56AA04A4-115C-4046-8EE2-DEC82FCAD748\"",\""index_key\"":12,\""reference_key\"":\""DT-0000012\"",\""insert_date\"":\""2025-06-16T16:01:50.193\"",\""update_date\"":\""2025-06-17T15:22:59\"",\""update_by\"":\""Paul Collins\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""ags\"",\""cabinet\"":\""cabinet\"",\""theme\"":\""theme\"",\""price\"":4,\""quantity\"":5}""}"
"BF1B4D70-D9D4-4F40-AB9A-AA3B25EAD7CB","37","LT-000000037","2025-06-17 15:24:50.440","Garrett Aposhian","order_detail","E05B1F53-33AE-4D09-A7A5-57EA7872FCBE","{""before_values"":""{\""index_key\"":18,\""insert_date\"":\""2025-06-17T15:24:50.440\"",\""update_date\"":\""2025-06-17T15:18:00\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Muso 55\"",\""theme\"":\""TTP2\"",\""price\"":20000,\""quantity\"":6}"",""after_values"":""{\""uuid\"":\""E05B1F53-33AE-4D09-A7A5-57EA7872FCBE\"",\""index_key\"":18,\""insert_date\"":\""2025-06-17T15:24:50.440\"",\""update_date\"":\""2025-06-17T15:18:00\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Muso 55\"",\""theme\"":\""TTP2\"",\""price\"":20000,\""quantity\"":6}""}"
