"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","casino_id","asset_id","theme_id","zone","bank","location","asset_number","denom","os_version","rtp","hold","prog_media","paytable","date_instl","golive","lastconver","rmvl_date","prog_type","prog_level","reset_1","reset_2","reset_3","reset_4","reset_5","reset_6","reset_7","reset_8","prog_1","prog_2","prog_3","prog_4","prog_5","prog_6","prog_7","prog_8","top_award","reels","no_lines","bet_line","maxcoinbet","betconfig","butt_panel","top_boxtyp","boot_bios","print_id","print_soft","bill_validator_id","billvalsft","mon_type","toppertype","active"
"DE8D37AE-F4EC-4393-9172-A1611CCFE5D3","16119","SM-000016119","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097299)","CT-00092","A-06867","TH-02123","3","3","7","101955","0.01","ZEARU2-GEN-0053","92.19","7.81","X16P94-XXLP-ZA-0104","Var 04","2022-01-24","","2022-03-02","","Linked","3","1000.00","100.00","25.00","","","","","","0.20","0.30","0.50","","","","","","PROG","5","30","60/120/180/240/300","300","1/2/3/4/5","10 dynamic","","GAL 10EC","No Reference","S04880","BV-01","V2.53-38","","Video","Inactive"
"4B9AE548-96E9-4A32-B481-8D67AB33D8DE","16120","SM-000016120","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096646)","CT-00145","A-04038","TH-00540","AA","19","7","102861","0.01","ZEARU2-GEN-0045","90.00","10.00","X17007-XXRP-ZA-0104","V02 Prog 33","2022-09-06","","","","Linked","4","5000.00","500.00","25.00","10.00","","","","","0.50","0.50","0.75","1.50","","","","","PROG","5","243 WAYS","88/176/264/528/880","880","1/2/3/6/10","10 Dynamic","","GAL 10B7","No Reference","S04880","No Reference","V2.78-39","","Video","Inactive"
"46545A0D-A135-4CCB-9983-DFA2C98405E8","16121","SM-000016121","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099388)","CT-00130","A-04040","TH-00546","3","3","2","15164","0.01","ZEARU2-GEN-0045","94.00","6.00","X17006-XXRP-ZA-0104","Variation 02","2021-10-11","","","","Linked","4","8888.00","888.00","50.00","20.00","","","","","0.50","0.50","0.50","1.50","","","","","PROG","5","243 ways","88/176/264/528/880","880","1/2/3/6/10","10 Dynamic","","GAL 10B2","No Reference","GURUSA210","No Reference","V2.78-51","","Video","Inactive"
"FF1DF710-D3B8-47EF-8AFD-0AE3F79D8B28","16122","SM-000016122","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092442)","CT-00130","A-04040","TH-00548","3","3","1","15473","0.01","ZEARU2-GEN-0064","","","X21P56-XXSP-ZA-0103","VAR 04","","","2023-07-25","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","HYPER SYMBOLS","50/100/150/250/500","500","1/2/3/5/10","","","GAL 1A55","No Reference","","No Reference","","","","Inactive"
"D5B1274E-902C-4CAE-97ED-624C7D1C3A2C","16135","SM-000016135","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095215)","CT-00116","A-06872","TH-00511","7","12","2","104100","0.01","ZEARU2-GEN-0045","92.14","7.86","X17P24-XXLP-ZA-0101","Variation 04","2022-04-19","","","","Linked","4","1000.00","100.00","30.00","10.00","","","","","0.10","0.20","0.40","0.80","","","","","PROG","5","30","50/100/150/250/500","500","1/2/3/5/10","10 Dynamic","","GAL 12AF","No Reference","GURUSAG14","No Reference","V2.82-40","","Video","Inactive"
"078D885F-E60E-4692-A4A2-60627CD0024C","16136","SM-000016136","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095157)","CT-00013","A-00858","TH-00511","3","19","6","100841","0.01","ZEARU2-GEN-0045","92.14","7.86","X17P24-XXLP-ZA-0101","VAR 04","2024-11-14","","","","LINKED","4","","","","","","","","","","","","","","","","","PROG","5","30","50/100/150/250/500","500","1/2/3/5/10","","","GAL 12AF","No Reference","","No Reference","","","","Inactive"
"99ED7D52-17B0-416F-9BDB-71279BAE3D48","16137","SM-000016137","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095726)","CT-00087","A-07980","TH-00368","1","108","2","11082","0.01","V1206212123","","","(8046) R121994","2410","2023-08-29","","","","LINKED","4","","","","","","","","","","","","","","","","","PROG","5","243 ways","88/176/352/528/880","880","1/2/4/6/10","","","nan","No Reference","","No Reference","","","","Inactive"
"F583D000-D708-4D8A-BF83-85EE08866906","16138","SM-000016138","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096406)","CT-00087","A-07980","TH-00364","1","108","2","11082","0.01","V0106232209","92.06","7.94","(9378) R96332","3105","","","2023-11-07","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","80","80/160/240/400/800","800","1/2/3/5/10","","","nan","No Reference","","No Reference","","","","Active"
"B5AE84BA-DC61-40BE-86D4-F3C5114CB4ED","16139","SM-000016139","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100063)","CT-00139","A-03366","TH-00360","5","13","4","60908","0.01","V0930211407","90.09","9.91","(9123) r53097","2944","2022-06-13","","","","Stand Alone","4","10000.00","500.00","25.00","10.00","","","","","0.10","0.30","0.40","1.20","","","","","PROG","5","1024 ways","75/150/225/375/750","750","1/2/3/5/10","5 Static","","","PR-02","E001CAD0102","BV-01","V2.84-44","","Video","Inactive"
"365CAC42-A67C-436E-A854-871BF0586FDA","16140","SM-000016140","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096440)","CT-00032","A-08045","TH-00516","","","","9131","0.01","nan","","","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Active"
